timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719926490335,105,Request 201 Michael Hartstein MHARTSTE 515.123.5555 17-FEB-04 MK_MAN 13000  -   100 20,,,Thread Group 1-4,text,true,,0,0,9,9,null,0,0,0
1719926490354,123,Request 202 Pat Fay PFAY 603.123.6666 17-AUG-05 MK_REP 6000  -   201 20,,,Thread Group 1-5,text,true,,0,0,10,10,null,0,0,0
1719926490372,141,Request 203 Susan Mavris SMAVRIS 515.123.7777 07-JUN-02 HR_REP 6500  -   101 40,,,Thread Group 1-6,text,true,,0,0,11,11,null,0,0,0
1719926490391,160,Request 204 Hermann Baer HBAER 515.123.8888 07-JUN-02 PR_REP 10000  -   101 70,,,Thread Group 1-7,text,true,,0,0,12,12,null,0,0,0
1719926490409,179,Request 205 Shelley Higgins SHIGGINS 515.123.8080 07-JUN-02 AC_MGR 12008  -   101 110,,,Thread Group 1-8,text,true,,0,0,13,13,null,0,0,0
1719926490428,199,Request 206 William Gietz WGIETZ 515.123.8181 07-JUN-02 AC_ACCOUNT 8300  -   205 110,,,Thread Group 1-9,text,true,,0,0,14,14,null,0,0,0
1719926490315,341,Request 198 Donald OConnell DOCONNEL 650.507.9833 21-JUN-07 SH_CLERK 2600  -   124 50,,,Thread Group 1-1,text,true,,0,0,15,15,null,0,0,0
1719926490315,341,Request 199 Douglas Grant DGRANT 650.507.9844 13-JAN-08 SH_CLERK 2600  -   124 50,,,Thread Group 1-2,text,true,,0,0,15,15,null,0,0,0
1719926490317,344,Request 200 Jennifer Whalen JWHALEN 515.123.4444 17-SEP-03 AD_ASST 4400  -   101 10,,,Thread Group 1-3,text,true,,0,0,13,13,null,0,0,0
1719926490446,216,Request 100 Steven King SKING 515.123.4567 17-JUN-03 AD_PRES 24000  -    -  90,,,Thread Group 1-10,text,true,,0,0,13,13,null,0,0,0
1719926490463,232,Request 101 Neena Kochhar NKOCHHAR 515.123.4568 21-SEP-05 AD_VP 17000  -   100 90,,,Thread Group 1-11,text,true,,0,0,13,13,null,0,0,0
1719926490592,106,Request 108 Nancy Greenberg NGREENBE 515.124.4569 17-AUG-02 FI_MGR 12008  -   101 100,,,Thread Group 1-18,text,true,,0,0,12,12,null,0,0,0
1719926490482,252,Request 102 Lex De Haan LDEHAAN 515.123.4569 13-JAN-01 AD_VP 17000  -   100 90,,,Thread Group 1-12,text,true,,0,0,13,13,null,0,0,0
1719926490611,127,Request 109 Daniel Faviet DFAVIET 515.124.4169 16-AUG-02 FI_ACCOUNT 9000  -   108 100,,,Thread Group 1-19,text,true,,0,0,12,12,null,0,0,0
1719926490500,270,Request 103 Alexander Hunold AHUNOLD 590.423.4567 03-JAN-06 IT_PROG 9000  -   102 60,,,Thread Group 1-13,text,true,,0,0,13,13,null,0,0,0
1719926490630,146,Request 110 John Chen JCHEN 515.124.4269 28-SEP-05 FI_ACCOUNT 8200  -   108 100,,,Thread Group 1-20,text,true,,0,0,12,12,null,0,0,0
1719926490518,288,Request 104 Bruce Ernst BERNST 590.423.4568 21-MAY-07 IT_PROG 6000  -   103 60,,,Thread Group 1-14,text,true,,0,0,13,13,null,0,0,0
1719926490649,164,Request 111 Ismael Sciarra ISCIARRA 515.124.4369 30-SEP-05 FI_ACCOUNT 7700  -   108 100,,,Thread Group 1-21,text,true,,0,0,12,12,null,0,0,0
1719926490537,308,Request 105 David Austin DAUSTIN 590.423.4569 25-JUN-05 IT_PROG 4800  -   103 60,,,Thread Group 1-15,text,true,,0,0,13,13,null,0,0,0
1719926490668,183,Request 112 Jose Manuel Urman JMURMAN 515.124.4469 07-MAR-06 FI_ACCOUNT 7800  -   108 100,,,Thread Group 1-22,text,true,,0,0,12,12,null,0,0,0
1719926490557,328,Request 106 Valli Pataballa VPATABAL 590.423.4560 05-FEB-06 IT_PROG 4800  -   103 60,,,Thread Group 1-16,text,true,,0,0,13,13,null,0,0,0
1719926490687,203,Request 113 Luis Popp LPOPP 515.124.4567 07-DEC-07 FI_ACCOUNT 6900  -   108 100,,,Thread Group 1-23,text,true,,0,0,12,12,null,0,0,0
1719926490575,343,Request 107 Diana Lorentz DLORENTZ 590.423.5567 07-FEB-07 IT_PROG 4200  -   103 60,,,Thread Group 1-17,text,true,,0,0,14,14,null,0,0,0
1719926490705,220,Request 114 Den Raphaely DRAPHEAL 515.127.4561 07-DEC-02 PU_MAN 11000  -   100 30,,,Thread Group 1-24,text,true,,0,0,13,13,null,0,0,0
1719926490725,241,Request 115 Alexander Khoo AKHOO 515.127.4562 18-MAY-03 PU_CLERK 3100  -   114 30,,,Thread Group 1-25,text,true,,0,0,14,14,null,0,0,0
1719926490854,115,Request 122 Payam Kaufling PKAUFLIN 650.123.3234 01-MAY-03 ST_MAN 7900  -   100 50,,,Thread Group 1-32,text,true,,0,0,14,14,null,0,0,0
